EBITDA,Free Cash Flow,Total Cash,Total Revenue,Revenue/sh,Enterprise Value,Enterprise To Revenue,Enterprise To EBITDA,Sharpe Ratio,Div Payout Ratio,Consecutive Yrs Div Increase,ROE,ROA,Beneish M,Altman Z,S&P 500 Member,Dow Jones Member,Industry,Sector,Company,Symbol,Risk Score,Risk Category
1349634944.0,-676499904.0,930595968.0,4332090880.0,37.02,35929960448.0,8.294,26.622,0.5863740627,0.118,28,0.256,0.127,-1.63,3.61,1,0,Specialty Chemicals,Basic Materials,Albemarle Corporation,ALB,-15,Low
12868270080.0,6404588032.0,3427290112.0,43152924672.0,160.62,39223103488.0,0.909,3.048,0.729214244,0.062,39,0.528,0.285,-2.59,5.53,1,0,Steel,Basic Materials,Nucor Corporation,NUE,-15,Low
1158290048.0,476411872.0,1032987008.0,8265988096.0,209.4,2088378368.0,0.253,1.803,0.7209147811,0.046,0,0.539,0.299,-1.81,6.13,0,0,Building Materials,Basic Materials,"Boise Cascade, L.L.C.",BCC,-6,Low
868422016.0,-49209500.0,197574000.0,6989627904.0,54.68,14882632704.0,2.129,17.138,0.6555799137,0.3399999999999999,39,0.2782,0.0689,-2.08,3.72,0,0,Specialty Chemicals,Basic Materials,RPM International Inc.,RPM,-11,Low
484537984.0,-681125.0,60708000.0,3688392960.0,69.05,5529922048.0,1.499,11.413,0.3915502252,0.209,39,0.114,0.04,-2.32,2.52,0,0,Specialty Chemicals,Basic Materials,H. B. Fuller Company,FUL,-8,Low
3328399872.0,886200000.0,130500000.0,21680500736.0,83.84,69235474432.0,3.193,20.801,0.2116525885,0.313,39,0.816,0.089,-2.24,3.47,1,0,Specialty Chemicals,Basic Materials,Sherwin-Williams Company (The),SHW,-15,Low
3719699968.0,5800000.0,3335899904.0,11969699840.0,53.94,60144852992.0,5.025,16.169,0.6404938148,0.626,39,0.165,0.083,-2.36,4.85,1,0,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc",APD,-15,Low
304718016.0,1698562.5,165700000.0,2756121088.0,120.75,2701576192.0,0.98,8.866,0.3602054953,0.1989999999999999,39,0.138,0.068,-2.27,3.63,0,0,Specialty Chemicals,Basic Materials,Stepan Company,SCL,-11,Low
42002000.0,-49132376.0,124519000.0,171600992.0,0.99,554579840.0,3.232,13.204,0.3457650839,0.3399999999999999,0,-0.008,-0.0069999999999999,-2.85,5.36,0,0,Other Precious Metals & Mining,Basic Materials,Endeavour Silver Corporation,EXK,-3,Low
50416476.0,-10713371.0,41774000.0,481052000.0,9.07,79683200.0,2.402,5.7445,0.3457650839,0.3399999999999999,0,-0.122,-0.077,-2.43,2.03,0,0,Other Industrial Metals & Mining,Basic Materials,Electra Battery Materials Corpo,ELBM,0,Medium
2160999936.0,467375008.0,1098000000.0,17656999936.0,74.67,33128790016.0,1.876,15.33,0.2681204383,0.526,39,0.174,0.05,-2.34,3.81,1,0,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",PPG,-15,Low
-19581000.0,-1222375.0,8824000.0,71240000.0,0.43,113911656.0,1.599,-5.817,0.3457650839,0.3399999999999999,0,-0.4972,-0.1147,3.07,-2.96,0,0,Other Industrial Metals & Mining,Basic Materials,Americas Gold and Silver Corpor,USAS,7,High
-29655120.0,-14711268.0,36088536.0,481052000.0,9.07,75520008.0,2.402,-2.547,0.3457650839,0.3399999999999999,0,-0.3393,-0.1888,-2.43,2.03,0,0,Other Precious Metals & Mining,Basic Materials,Perpetua Resources Corp.,PPTA,0,Medium
10552000512.0,6205624832.0,3655000064.0,32633999360.0,64.17,157373000000.0,4.822,14.914,0.8483040729,0.599,29,0.094,0.049,-2.75,3.72,1,0,Specialty Chemicals,Basic Materials,Linde plc,LIN,-15,Low
-3071000.0,-2236375.0,7156000.0,481052000.0,9.07,28976262.0,2.402,-9.435,0.3457650839,0.3399999999999999,0,-0.16,-0.156,-4.37,2.03,0,0,Other Industrial Metals & Mining,Basic Materials,Solitario Zinc Corp.,XPL,0,Medium
2726099968.0,918724992.0,124900000.0,13532699648.0,47.29,52736245760.0,3.897,19.345,0.3094121096,0.509,30,0.159,0.053,-2.4,3.36,1,0,Specialty Chemicals,Basic Materials,Ecolab Inc.,ECL,-15,Low
6130141184.0,2424749312.0,2003708032.0,22745143296.0,120.31,18668494848.0,0.821,3.045,0.7089793198,0.0559999999999999,3,0.599,0.3060599999999995,-2.12,6.25,1,0,Steel,Basic Materials,"Steel Dynamics, Inc.",STLD,-10,Low
-51416000.0,-44161376.0,46416000.0,128284000.0,2.76,228754384.0,1.783,-4.449,0.3457650839,0.3399999999999999,0,-0.177,-0.121,-2.07,-2.25,0,0,Other Precious Metals & Mining,Basic Materials,McEwen Mining Inc.,MUX,3,Medium
21840095723.519997,9961339740.159954,13020879872.0,108654000000.0,272.96,43132526592.0,0.397,1.97,0.3457650839,0.3399999999999999,0,0.203,0.021,-2.78,1.81,0,0,Chemicals,Basic Materials,Braskem SA,BAK,-9,Low
50416476.0,1698562.5,128150676.0,481052000.0,222.94,11978720256.0,2.402,5.7445,0.8129307079,0.107,9,0.29,0.19,-2.15,6.04,0,0,Steel,Basic Materials,Reliance Steel & Aluminum Co.,RS,-5,Low
